unix,date,open,high,low,close,Volume USDT
1763121600000,2025-11-14 12:00:00,96167.45000000,96167.45000000,95846.15000000,95968.99000000,23309959.74447630
1763107200000,2025-11-14 08:00:00,97151.97000000,97553.70000000,95711.00000000,96167.44000000,508642583.37145060
1763092800000,2025-11-14 04:00:00,99139.38000000,99178.58000000,95933.75000000,97151.98000000,1082194107.92546890
1763078400000,2025-11-14 00:00:00,99692.03000000,99866.02000000,98700.00000000,99139.38000000,579385672.37833360
1763064000000,2025-11-13 20:00:00,98682.13000000,100501.31000000,98000.40000000,99692.02000000,590174640.65238510
1763049600000,2025-11-13 16:00:00,101382.63000000,101540.93000000,98147.40000000,98682.14000000,1287758119.74310280
1763035200000,2025-11-13 12:00:00,102936.49000000,103483.83000000,101184.14000000,101382.64000000,641236574.50672240
1763020800000,2025-11-13 08:00:00,103475.66000000,103811.49000000,102553.63000000,102936.50000000,323760207.89943510
1763006400000,2025-11-13 04:00:00,102130.21000000,104085.01000000,101665.59000000,103475.66000000,445801818.96748210
1762992000000,2025-11-13 00:00:00,101654.37000000,102604.00000000,100922.55000000,102130.21000000,365966664.77125300
1762977600000,2025-11-12 20:00:00,101297.31000000,101999.35000000,101141.03000000,101654.37000000,204920545.62410900
1762963200000,2025-11-12 16:00:00,102173.51000000,102285.18000000,100813.59000000,101297.31000000,494776144.55708840
1762948800000,2025-11-12 12:00:00,105020.82000000,105333.33000000,101961.97000000,102173.51000000,538988254.46131070
1762934400000,2025-11-12 08:00:00,103112.65000000,105200.00000000,103112.24000000,105020.83000000,370288160.23051800
1762920000000,2025-11-12 04:00:00,103310.00000000,103654.38000000,103011.00000000,103112.66000000,223876678.59250970
1762905600000,2025-11-12 00:00:00,103059.00000000,103440.96000000,102687.72000000,103310.00000000,275664621.79534140
1762891200000,2025-11-11 20:00:00,103126.39000000,103224.29000000,102476.09000000,103058.99000000,281994861.46481180
1762876800000,2025-11-11 16:00:00,103455.99000000,103730.00000000,102840.22000000,103126.39000000,263209913.29398040
1762862400000,2025-11-11 12:00:00,105311.90000000,105500.00000000,103170.33000000,103455.99000000,922656573.81633210
1762848000000,2025-11-11 08:00:00,104783.99000000,105497.99000000,104762.23000000,105311.90000000,189782002.69277480
1762833600000,2025-11-11 04:00:00,106456.00000000,106546.00000000,104741.20000000,104783.98000000,349279323.97086470
1762819200000,2025-11-11 00:00:00,106011.13000000,107500.00000000,105500.00000000,106456.00000000,525356395.76815770
1762804800000,2025-11-10 20:00:00,105818.00000000,106299.22000000,105280.00000000,106011.13000000,281847443.27480730
1762790400000,2025-11-10 16:00:00,105079.99000000,106094.31000000,104784.36000000,105817.99000000,290768599.34062960
1762776000000,2025-11-10 12:00:00,106176.50000000,106589.89000000,104667.00000000,105079.99000000,603764964.61561580
1762761600000,2025-11-10 08:00:00,106461.46000000,106599.47000000,105836.00000000,106176.50000000,250303165.19680590
